978289261369X, , Les amants de l Alfama, Les amants de l Alfama, , Les amants de l Alfama
978292066079X, TRESOR DE L OGRE LE, , Le trésor de l ogre, , 
978276480845X, La Rebelle et le Yankee tome 1, , La rebelle et le Yankee, , 
978289607095X, Poèmes des villes Poèmes des champs NÂ 90, Poèmes des villes, Poèmes des villes Poèmes des champs, , 
978289647020X, , L écrit qui tue, L écrit qui tue, L écrit qui tue, 
978289381889X, La Maison des regrets, La maison des regrets, La maison des regrets, , 
978276480836X, De mères en filles tome 4, , De mères en filles v 4 Ava, , 
978289261351X, , Réservé aux chiens, Réservé aux chiens, , 
978289420203X, , La planète du mensonge, La planète du mensonge, , 
978289649080X, Le masque du gerfaut, Le masque du gerfaut, Le masque du gerfaut, , 
978289726045X, L assassinat d Agnès NÂ 8, , L assassinat d Agnès, , 
978292214538X, Sorbier NÂ 32, Sorbier, Sorbier, , 
978292189801X, , Oh Miami Miami Miami, Oh Miami Miami Miami, , 
978289615030X, Une fêlure au flanc du monde NÂ 117, Une fêlure au flanc du monde, Une fêlure au flanc du monde, , 
978289021197X, , Des crayons qui trichent, Des crayons qui trichent, , 
978289037736X, , Juliette Pomerleau, Juliette Pomerleau, , 
978289021342X, , Un train de glace, Un train de glace, , 
978276132390X, , Stop Léa, Stop Léa, , 
978276480127X, Monica la Mitraille, Monica la Mitraille, , , 
978289723125X, , , Le comte de Saint Germain volume 1, Le Comte de Saint Germain Tome 1 Le mystère, 
978289579302X, ROSALIE LA RONDE NO04, Rosalie la ronde, Rosalie la ronde, , 
978289052569X, , Esprit es tu là, Esprit es tu là, , 
978276460030X, , La machine à manger les brocolis, La machine à manger les brocolis, , 
978289649419X, Corax, , Corax, , 
978289579359X, UN PIRATE A L ECOLE, , Un pirate à l école, , 
978289686671X, , Les couleurs, Les couleurs, , 
978292370674X, , Le plan Vénus mon amour, Le plan Vénus mon amour, , 
978292149321X, , Cami, Cami, , 
978289406149X, , À la brunante, À la brunante, , 
978289396260X, , Cantilènes et chants de mer, Cantilènes et chants de mer, , 
978289037888X, , Le troisième orchestre, Le troisième orchestre, , 
978289021974X, EMO EPISODE 5 COMME UN F, , Emo, , 
978289751141X, Peck et le goûter disparu, , Peck et le goûter disparu, , 
978289295158X, Regards et jeux dans l espace, Regards et jeux dans l espace et autres poèmes, Regards et jeux dans l espace et autres poèmes, , 
978289006191X, Issue de secours, Issue de secours, , , 
978292329112X, , La nuit soupire quand elle s arrête, La nuit soupire quand elle s arrête, , 
978292177557X, , L homme avec qui mourait l espoir, L homme avec qui mourait l espoir, , 
978292336904X, , Aspirine en Nouvelle France, Aspirine en Nouvelle France, , 
978088566115X, Le Déserteur, Le déserteur et autres récits de la terre, , , 
978276093258X, , Les pékinois de monsieur Chang, Les pékinois de monsieur Chang, , 
978189473102X, , School, School, , 
978276040258X, Pour saluer Victor Hugo, Pour saluer Victor Hugo, , , 
978289021479X, , La terreur des mers, La terreur des mers, , 
978292071874X, , Le Château, Le Château, , 
978289111864X, Conjuration de la sixtine, , La conjuration de la Sixtine, , 
978289770040X, TRAVERSEE DES MERS LA, , La traversée des mers, , 
978289428411X, , Morvette et Poisson d or, Morvette et Poisson d or et autres contes, , 
978276480355X, Ã cause d elles, , À cause d elles, , 
978289295330X, Un simple soldat, , Un simple soldat, , 
978274275341X, , Nouvelle France, Nouvelle France, , 
978289723168X, , , La valise d Hana, La Valise d Hana, 
978289615064X, L esprit de la meute NÂ 137, , L esprit de la meute, , 
978292353012X, , Cette maison n est pas la mienne, Cette maison n est pas la mienne, , 
978289690005X, , , N oublie pas mon petit soulier, , N oublie pas mon petit soulier
978292257239X, , Portrait d un regard, Portrait d un regard, , 
978276040483X, Monsieur de Voltaire, Monsieur de Voltaire, , , 
978289018659X, , Va nu pieds, Va nu pieds, , 
978289005675X, Le passé intérieur, Le passé intérieur, Le passé intérieur, , 
978292189839X, , Nu tout nu, Nu tout nu, , 
978289406085X, , La note de passage, La note de passage, , 
978289435013X, , A forest of suspicion, A forest of suspicion, , 
978289485121X, , Gueusaille, Gueusaille, , 
978298146134X, , Le Destin de Jean Uto La Naissance, Le destin de Jean Uto, , 
978289647595X, , , Quand tombe le lys, Quand tombe le lys compact, 
978289502138X, , Chroniques pour une femme, Chroniques pour une femme, , 
978189436325X, , No spots for this giraffe, No spots for this giraffe, , 
978289428742X, , , , Deux siècles d esclavage au Québec, Deux siècles d esclavage au Québec
978289435282X, La guerre des avions de papier Nº 30, La guerre des avions de papier, La guerre des avions de papier, , 
978292422457X, , L absence de la cigogne, L absence de la cigogne, , 
978292381304X, Les chasseurs de trésors, Les chasseurs de trésors, Les chasseurs de trésors, , 
978289005334X, Perfecto nuit, Perfecto nuit, , , 
978289052533X, , La fille en cuir, La fille en cuir, , 
978292224502X, , La vie dure, La vie dure, , 
978289419192X, , Territoires fétiches, Territoires fétiches, , 
978289052983X, , Julia et le chef des Pois, Julia et le chef des Pois, , 
978292381302X, Mon petit frère superhéros, , Mon petit frère superhéros, , 
978289723377X, , , La mer de Cocagne, La Mer de Cocagne, 
978289751307X, Jimmy Tornado Nº 2, , Jimmy Tornado, , 
978289052874X, , Les aurores montréales, Les aurores montréales, , Les aurores montréales
978289512474X, , Alex numéro 2, Alex numéro 2, , 
978289660057X, Jour de pluie pour Dora, , Jour de pluie pour Dora, , 
978289512429X, , Alex le petit joueur de hockey, Alex le petit joueur de hockey, , 
978289579256X, LUSTUCRU AU PAYS DES VA, , Lustucru au pays des vampires, , 
978289428569X, , , La croisade de Cristale Carton, La croisade de Cristale Carton, 
978289261072X, , Petits et grands nocturnes, Petits et grands nocturnes, , 
978289406289X, , L exilé, L exilé, , 
978289615103X, Dernier pas vers l enfer Nº 28, , Derniers pas vers l enfer, , 
978292268505X, , À tout hasard, À tout hasard, , 
978289781056X, , , Eva Braun, Eva Braun Tome 2 Une cage dorée, 
978289703237X, Camille, Camille, Camille, , 
978289430270X, , Le principe du geyser, Le principe du geyser, , 
978289428728X, , Drôle de vampire, Drôle de vampire, , 
978289051728X, , L homme au chat, L homme au chat, , 
978289455294X, , La gueule du Loup, La gueule du Loup, , 
978298055760X, , Histoire de guérir histoire de grandir, Histoire de guérir histoire de grandir, , 
978289026377X, Hier les enfants dansaient, Hier les enfants dansaient, , , 
978276131703X, , Pas de chouchous, Pas de chouchous, , 
978289419105X, , Porteur d os, Porteur d os suivi de Ô l homme et de Autres poèmes, , 
978289006208X, Le besoin et le désir, Le Besoin et le désir ou Le code et le symbole, , , 
978276460400X, , L île des Glaces, L île des Glaces, , 
978289723828X, , , Botté d envoi, Botté d envoi, 
978289031973X, , Debout sur le côté des choses, Debout sur le côté des choses, , 
978276400209X, Elementaire ma chere sarah, , Élémentaire ma chère Sarah, , 
978289751140X, La Reine des neiges, , La Reine des neiges, , 
978289549477X, , Nikki Pop, Nikki Pop, , 
978289607349X, La Côte du Chinois Nº 97, , La côte du Chinois, , 
978289615044X, 5150 rue des Ormes Nº 5, , 5150 rue des Ormes, , 
978298022043X, , La mort amoureuse, La mort amoureuse, , 
978289242553X, , Croc Blanc, Croc Blanc, , 
978292357402X, Jeremie le petit curieux, , Jérémie le petit curieux, , 
978289485397X, , Les miniAtomix le pic d Argon, Les miniAtomix, , 
978292425928X, Sept Tome 1, , Entre ciel et terre, , 
978292142538X, , Le nègre crucifié, Le nègre crucifié, , 
978289723768X, , , Zazie volume 2, Zazie Tome 2 C est poche, 
978292334251X, De la ville il ne me reste que toi, De la ville il ne me reste que toi, De la ville il ne me reste que toi, , 
978298108670X, , La rivière, La rivière, , 
978289651007X, PAVEL T 04 QUAND LEMAI, , Pavel, , 
978289018407X, , La maison, La maison suivi de Les portraits, , 
978289428368X, , Télé rencontre, Télé rencontre, , 
978289018631X, , Homa sweet home, Homa sweet home, , 
978289657196X, , , Mission, , Mission
978289549092X, , La bibliothécaire et l Américain, La bibliothécaire et l Américain, , 
978289660428X, La fête du capitaine Crochet, , La fête du capitaine Crochet, , 
978289723798X, , , Selfies et sushis volume 1, Selfies et sushis Tome 1 Comme sur des roulettes, 
978289485116X, , Le cri des oiseaux foux, Le cri des oiseaux fous, , 
978292366298X, Plus fou que ça tumeur, , Plus fou que ça tumeur, , 
978292350154X, Jordane coffre mysterieux en heritage, , Jordane, , 
978289529090X, , Tout peut recommencer, Tout peut recommencer, , 
978289647722X, , , La voix du maître, La Voix du maître, 
