Un homme et son peche,Un homme et son péché
GRAND VOYAGE DE MARGUERIT,Le grand voyage de Marguerite
Nirliit ,Nirliit
Mechants voisins marins [r],Méchants voisins marins
"Edmund, the terrible raccoon",Edmund the awful racoon
Ayoye!,"Ayoye!. 2, Méchant cauchemar"
Le cratère,Le Cratère - Tome 8
"Les Portes de Québec, tome 3",Les Portes de Québec - Tome 3 (compact) Le prix du sang
Caillou,Potty time
Festin d'insectes,Festins d'insectes !
NOTDOG T05,Notdog
Le piège de l'inconnue,Le piège de l'inconnue /
Mélodie et la Fontaine,Mélodie et la fontaine
Le sentier des Roquemont,Le Sentier des Roquemont - Tome 3 Le dilemme
Cinq dans une planque,Anthologie de la nouvelle québécoise actuelle
Cinq dans une planque, Anthologie de la Nouvelle Quebecoise Actuelle 
Anthologie de la nouvelle québécoise actuelle, Anthologie de la Nouvelle Quebecoise Actuelle 
Jouons avec Léon,JOUONS AVEC LEON T01
La courte année de Rivière-Longue,La courte année de Rivière-Longue 
Territoires,Territoires /
Hockey de rue,Hockey de rue 
La Table d'écriture,La table d'écriture
La chasse à la sorcière,La chasse à la sorcière - Nº 60
Ballons au ciel poèmes,Ballons au ciel
Jacky Salaberry. v. 2. La confrérie du vautour,Jacky Salaberry - Nº 2
Et planent les ombres t.2 : La nuit des âmes,Et planent les ombres
Et planent les ombres t.2 : La nuit des âmes,La nuit des âmes - NÂ° 2
Et planent les ombres,La nuit des âmes - NÂ° 2
Le secret de Lydia Gagnon ,Le secret de Lydia Gagnon
Caillou: Aventures en famille,Caillou
Les Immondes N.30,Les immondes
Les Immondes N.30,Les Immondes
Les immondes,Les Immondes
Coups de feu au Forum , Coups de feu au Forum 
La nuit du Viking,Les Aventures de Laura Berger - Tome 2 La nuit du Viking
Les Ventes de garage,Ventes de garage
"La Vie sucrée de Juliette Gagnon, tome 2","La Vie sucrée de Juliette Gagnon, tome 2.Camisole en dentelle et sauce au caramel"
Les sept jours du talion - Nº 6,Les sept jours du talion
CLINIQUE,Clinique
CLINIQUE,Clinique 
Clinique,Clinique 
Morts sur l'Île-du-Prince-Édouard - NÂ° 93,Morts sur l'Île-du-Prince-Édouard
Les fables du raton,FABLES DU RATON NO04
Mon royaume scotch tape,Royaume scotch tape
"Amblystome, Tome 2 – Au-delà des murs",Amblystome
L'Affaire Céline ou Cendres au Crique-à-la-Roche,L'affaire Céline - Nº 41
Le rêve de Mady,Reve de mady -le
Souvenirs d'amour,Souvenirs d'amour Journal de mes vingt ans
Le Talisman de Nergal - Tome 4 Les clés de Satan,"Le Talisman de Nergal, volume 4"
Objectif l'Impact : Plan de match,Plan de match /
" Spirit Lake, 1915-1917 ","Spirit Lake, 1915-1917"
Les années de guerre,Les années de guerre 
 Tuer Velasquez ,TUER VELASQUEZ
 Tuer Velasquez ,Tuer Vélasquez
TUER VELASQUEZ,Tuer Vélasquez
L'ouverture du cœur,L'ouverture du coeur
Ode au Saint-Laurent /Gatien Lapointe,Ode au Saint-Laurent
Les têtes volantes,Les têtes volantes - NÂ° 18
Instructions pour la lecture d'un journal = Didascalie per la lettura di un giornale,Instructions pour la lecture d'un journal
Instants /,Instants
Olympiques entre amis,"Caillou, Olympiques entre amis"
Caillou: Je t'aime,Je t'aime!
C'est la nuit -- drôles de bruits!,C'est la nuit-- drôles de bruits!
Garfield - Poids lourd no.17,Garfield
CAILLOU -DANS MON QUARTIER [R],Caillou
"Caillou, la garderie",Caillou
Caillou : un matin difficile,Caillou
Astra et les gâteaux de l'espace ,Astra et les gâteaux de l'espace
Les dinosaures - NÂ° 1,Les Dinosaures
Polo et la fête de la citrouille,POLO ET LA FETE DE LA CI
L'Idole masquée ,L'idole masquée
Silence de mort,SILENCE DE MORT
PIANISTE DE LA FIN DU M,L'antihorloge. 3. Le pianiste de la fin du monde
Lance et compte - Tome 9,Jusqu'au bout 
Le premier regard : autour de Okia,Le premier regard
La rivière sans repos,Riviere sans repos dd0014
Un roman-savon,Un roman-savon - Nº 34
Le cerbère de l'enfer - Nº 8,Le cerbère de l'enfer 
L'homme qui voulait changer de vie,L'Homme qui voulait changer de vie
L'étrange monsieur Singh - Nº 23,L'étrange monsieur Singh
Félicité - Tome 2 (compact) La grande ville,"Félicité, tome 2"
--Et je jouerai de la guitare,Et je jouerai de la guitare
L'Interdit,Interdit
Sur les berges du Richelieu - Tome 1 La tentation d'Aldée,"Sur les berges du Richelieu, volume 1"
Pavel,PAVEL T.11  DU DUCT TAP
Fleur-Ange,"Fleur-Ange, ou, Les poètes n'ont pas de fils"
Taxi !,Taxi !
MAISON AUX 4 CERCUEILS,La maison aux 4 cercueils /
Je boude,JE BOUDE
Au pied de la pente douce,Au pied de la pente douce dd0
Une affaire délicate,Une affaire délicate - NÂ° 105
"Caillou, l'ours en peluche",Caillou
"Caillou, l'ours en peluche",Caillou : l'ours en peluche
Caillou,Caillou : l'ours en peluche
Ani Croche,ANI CROCHE T01
La louve,La louve - tome 2
"Curieux de nature, volume 2",Curieux de nature! - Tome 2 Les fleurs sauvages
"Cabrioles et ritournelles Francine Allard ; illustrations, Josée Bisaillon ; CD par Martin Léon [ensemble multi-supports] /",Cabrioles et ritournelles
Le journal de Justine et Juliette,Les JJ's - Tome 1 Le journal de Justine et Juliette
 Les demi-civilisés ,Les demi-civilisés
Tambours de l'automne t4,Les tambours de l'automne
LEOPARD NE SE DEPLACE PAS,Le léopard ne se déplace pas sans ses taches
