id1,data_base1,title1,author1,isbn1,title_raw1,author_raw1,isbn_raw1,id2,data_base2,title2,author2,isbn2,title_raw2,author_raw2,isbn_raw2
<http://recif.litterature.org/ontologie/entite/oeuvre/23076>,ILE,florence,['dube marcel'],[],Florence,"['""Dubé, Marcel""']","['""""']",<http://banq.qc.ca/livre/64691>,Depot_legal,florence,['sylvie bouchard'],['978289031359X'],Florence,"['""Sylvie"" ""Bouchard""']","['""289031359X""']"
<http://banq.qc.ca/livre/302012>,Depot_legal,les filles de joie,['lise antunes simoes'],['978289585293X'],Les filles de joie,"['""Lise"" ""Antunes Simoes""']","['""9782895852933""']",<http://recif.litterature.org/ontologie/entite/oeuvre/6081>,ILE,les filles de caleb,['cousture arlette'],[],Les Filles de Caleb,"['""Cousture, Arlette""']","['""""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/5281>,ILE,la guerre yes sir,['carrier roch'],[],"La guerre, yes sir","['""Carrier, Roch""']","['""""']",<http://banq.qc.ca/livre/217403>,Depot_legal,la guerre des epis,['fredrick anterny'],['978289633089X'],La guerre des épis,"['""Fredrick"" ""D\'Anterny""']","['""9782896330898""']"
<http://banq.qc.ca/livre/10176>,Depot_legal,le livre des nombres,['keith faulkner'],['978276257258X'],Le livre des nombres,"['""Keith"" ""Faulkner""']","['""2762572584""']",<http://recif.litterature.org/ontologie/entite/oeuvre/7351>,ILE,le livre des momies,['fortin celyne'],[],Le livre des momies,"['""Fortin, Célyne""']","['""""']"
<http://www.sogides.com/livre/399124>,ADP,reperes du silence,['germaine beaulieu'],['978289648046X'],Repères du silence,"['""Germaine Beaulieu""']","['""9782896480463""']",<http://banq.qc.ca/livre/69396>,Depot_legal,rivages du silence,['robert lalonde'],[],Rivages du silence,"['""Robert"" ""Lalonde""']",[]
<http://banq.qc.ca/livre/219392>,Depot_legal,zazou,['valerie perreault'],['978289595322X'],Zazou,"['""Valérie"" ""Perreault""']","['""9782895953227""']",<http://recif.litterature.org/ontologie/entite/oeuvre/7242>,ILE,cazou,['ferron jacques'],[],Cazou,"['""Ferron, Jacques""']","['""""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/26768>,ILE,l heure mauve,['blanchet michele'],[],L'heure mauve,"['""Blanchet, Michèle""']","['""""']",<http://banq.qc.ca/livre/254885>,Depot_legal,l heure mauve,['andree condamin'],['978292338249X'],L'heure mauve,"['""Andrée"" ""Condamin""']","['""9782923382494""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/4326>,ILE,le libraire,['bessette gerard'],[],Le libraire,"['""Bessette, Gérard""']","['""""']",<http://banq.qc.ca/livre/196399>,Depot_legal,la librairie,['marie-josee bastien'],['978289502230X'],La librairie,"['""Marie-Josée"" ""Bastien""']","['""9782895022305""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/4437>,ILE,l insoumise,['blais marie-claire'],[],L'insoumise,"['""Blais, Marie-Claire""']","['""""']",<http://banq.qc.ca/livre/299041>,Depot_legal,l insoumise,['laurent chabin'],"['978289435568X', '978289435610X', '978289435639X']",L'insoumise,"['""Laurent"" ""Chabin""']","['""9782894355688""', '""9782894356104""', '""9782894356395""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/4437>,ILE,l insoumise,['blais marie-claire'],[],L'insoumise,"['""Blais, Marie-Claire""']","['""""']",<http://banq.qc.ca/livre/134313>,Depot_legal,l insoumise,['celine larouche'],['978298036553X'],L'insoumise,"['""Céline"" ""Larouche""']","['""298036553X""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/4437>,ILE,l insoumise,['blais marie-claire'],[],L'insoumise,"['""Blais, Marie-Claire""']","['""""']",<http://banq.qc.ca/livre/298205>,Depot_legal,l insoumise,['antonio villeneuve'],['978292336548X'],L'insoumise,"['""Antonio"" ""Villeneuve""']","['""9782923365480""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/4437>,ILE,l insoumise,['blais marie-claire'],[],L'insoumise,"['""Blais, Marie-Claire""']","['""""']",<http://banq.qc.ca/livre/300550>,Depot_legal,l insoumise,['laurent chabin'],"['978289435639X', '978289435568X', '978289435610X']",L'insoumise,"['""Laurent"" ""Chabin""']","['""9782894356395""', '""9782894355688""', '""9782894356104""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/4437>,ILE,l insoumise,['blais marie-claire'],[],L'insoumise,"['""Blais, Marie-Claire""']","['""""']",<http://banq.qc.ca/livre/225681>,Depot_legal,l insoumise,['francine forget'],['978276212962X'],L'insoumise,"['""Francine"" ""Forget""']","['""9782762129625""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/4437>,ILE,l insoumise,['blais marie-claire'],[],L'insoumise,"['""Blais, Marie-Claire""']","['""""']",<http://banq.qc.ca/livre/275560>,Depot_legal,l insoumise,['laurent chabin'],"['978289435639X', '978289435610X', '978289435568X']",L'insoumise,"['""Laurent"" ""Chabin""']","['""9782894356395""', '""9782894356104""', '""9782894355688""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/26443>,ILE,le bonhomme de neige,['paradis raymond'],[],Le bonhomme de neige,"['""Paradis, Raymond""']","['"" Br.""']",<http://banq.qc.ca/livre/56860>,Depot_legal,le bonhomme de neige,['john patience'],['978276250692X'],Le bonhomme de neige,"['""John"" ""Patience""']","['""2762506921""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/26443>,ILE,le bonhomme de neige,['paradis raymond'],[],Le bonhomme de neige,"['""Paradis, Raymond""']","['"" Br.""']",<http://banq.qc.ca/livre/134914>,Depot_legal,le bonhomme de neige,['catherine shoolbred'],['978276251756X'],Le bonhomme de neige,"['""Catherine"" ""Shoolbred""']","['""2762517567""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/28280>,ILE,annabelle,['laberge marie'],['978276460076X'],Annabelle,"['""Laberge, Marie""']","['""9782764600764 (br.)""']",<http://banq.qc.ca/livre/258349>,Depot_legal,annabel lee,['edgar allan poe'],[],Annabel Lee,"['""Edgar Allan"" ""Poe""']",[]
<http://banq.qc.ca/livre/21372>,Depot_legal,la derniere escale,['gilberte leblanc-gilbert'],['978298043100X'],La dernière escale,"['""Gilberte"" ""LeBlanc-Gilbert""']","['""2980431001""']",<http://recif.litterature.org/ontologie/entite/oeuvre/18714>,ILE,la derniere scene,['mathieu pierre'],[],La dernière scène,"['""Mathieu, Pierre""']","['""""']"
<http://banq.qc.ca/livre/120330>,Depot_legal,poemes ii,['jeannine pare st-hilaire'],['978298075780X'],Poèmes II,"['""Jeannine"" ""Paré St-Hilaire""']","['""2980757802""']",<http://recif.litterature.org/ontologie/entite/oeuvre/10854>,ILE,poemes sic,['nelligan emile'],[],Poémes [sic],"['""Nelligan, Émile""']","['""""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/12369>,ILE,la montagne secrete,['roy gabrielle'],[],La montagne secrète,"['""Roy, Gabrielle""']","['""""']",<http://banq.qc.ca/livre/243424>,Depot_legal,la montagne sacree,['francois tardif'],['978292313618X'],La montagne sacrée,"['""François"" ""Tardif""']","['""9782923136189""']"
